Columbia Corporate Income Fund Institutional 3 Class (CRIYX),CRIYX,MF,Corporate Bond,4.0,5.0,4.0,5.0,2.51,8.53,5.91,NA,NA,NA,NA,0.18,5.67,-3.16,8.69,6.11,-3.48,15.55,11.48,0.44,0.47,0.53,7.16,5.93,5.3,1.0,0.76,0.91,6.35,NA,NA,82.88,7.14,3.62
PIMCO Investment Grade Credit Bond Fund Institutional Class (PIGIX),PIGIX,MF,Corporate Bond,2.0,3.0,5.0,4.0,2.69,7.33,5.49,5.66,11.72,6.86,14.99,-1.69,8.76,0.28,6.99,7.95,-2.02,14.72,7.5,0.24,0.85,0.85,7.5,6.2,5.49,0.8,0.66,0.93,-51.29,0.05,0.22,120.01,24.86,6.15
American Funds Corporate Bond Fund Class F-3 (CFBFX),CFBFX,MF,Corporate Bond,5.0,4.0,N/A,5.0,0.08,8.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.14,13.84,13.48,-0.58,0.45,0.49,6.05,5.2,NA,1.18,0.79,NA,3.39,NA,NA,79.6,12.71,4.3
Fidelity Advisor Corporate Bond Fund Class Z (FIKOX),FIKOX,MF,Corporate Bond,4.0,4.0,4.0,4.0,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.57,10.89,0.09,0.36,0.4,7.39,6.15,5.34,0.92,0.69,0.91,4.69,NA,NA,69.36,19.56,6.39
Lord Abbett Income Fund Class F3 (LOGVX),LOGVX,MF,Corporate Bond,2.0,4.0,3.0,2.0,6.29,7.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.41,13.22,8.24,2.29,0.48,0.48,8.72,6.99,5.89,0.71,0.63,0.81,0.11,0.18,NA,77.58,18.94,3.18
Western Asset Corporate Bond Fund Class I (SIGYX),SIGYX,MF,Corporate Bond,4.0,5.0,5.0,5.0,4.47,8.47,6.3,6.02,11.82,5.62,14.9,0.51,8.49,-0.58,8.35,7.54,-3.27,14.68,11.19,0.93,0.55,0.61,8.63,7.04,6.22,0.85,0.7,0.88,6.14,NA,NA,67.37,19.58,6.91
Calvert Income Fund Class I (CINCX),CINCX,MF,Corporate Bond,3.0,4.0,3.0,3.0,7.77,8.2,5.77,4.81,7.23,3.3,9.19,-0.01,5.5,-0.55,5.94,7.01,-2.99,14.98,8.57,2.5,0.69,0.69,7.88,6.44,5.22,0.86,0.67,0.81,3.08,0.27,NA,74.34,14.28,8.03
Invesco Corporate Bond Fund Class R6 (ICBFX),ICBFX,MF,Corporate Bond,5.0,5.0,5.0,5.0,6.13,9.32,6.67,NA,NA,NA,NA,0.53,8.32,-1.19,8.66,7.85,-3.87,16.31,11.81,1.94,0.36,0.36,7.86,6.51,5.58,1.0,0.81,0.99,0.07,0.11,NA,73.77,21.0,5.04
Federated Hermes Corporate Bond Fund Class R6 Shares (FDBLX),FDBLX,MF,Corporate Bond,3.0,4.0,3.0,3.0,3.45,7.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.05,-2.71,14.13,9.08,1.0,0.59,0.66,6.91,5.7,5.0,0.91,0.77,0.91,1.25,0.16,NA,84.77,13.35,0.47
JPMorgan Corporate Bond Fund Class R6 (CBFVX),CBFVX,MF,Corporate Bond,4.0,4.0,N/A,4.0,2.07,8.37,5.99,NA,NA,NA,NA,NA,8.1,-0.54,5.9,7.09,-2.02,15.16,10.34,0.36,0.4,0.41,7.05,5.91,NA,0.98,0.72,NA,1.79,NA,NA,72.26,18.28,7.66
Goldman Sachs Investment Grade Credit Fund Class R6 (GTIUX),GTIUX,MF,Corporate Bond,3.0,3.0,3.0,3.0,1.72,8.16,NA,NA,NA,NA,NA,NA,NA,NA,5.25,6.49,-2.56,15.36,10.12,-0.15,0.37,0.46,8.5,6.97,5.73,0.81,0.58,0.81,1.48,NA,NA,73.93,17.35,7.24
MFS Corporate Bond Fund Class R6 (MFBKX),MFBKX,MF,Corporate Bond,4.0,4.0,4.0,4.0,1.4,8.55,5.73,NA,NA,NA,NA,-0.23,6.14,-0.07,6.18,6.43,-2.86,14.81,11.37,-0.04,0.43,0.43,7.16,5.98,5.08,0.99,0.7,0.91,8.39,NA,NA,66.8,21.56,3.25
Vanguard Intermediate-Term Corporate Bond Index Fund ETF Shares (VCIT),VCIT,ETF ,Corporate Bond,4.0,3.0,3.0,3.0,2.49,7.73,4.51,5.18,10.65,7.94,11.36,-1.8,7.47,0.88,5.3,5.5,-1.75,13.97,9.55,0.05,NA,NA,6.6,5.6,5.08,0.99,0.64,0.91,-0.05,NA,NA,84.62,12.21,3.22
PIMCO Investment Grade Corporate Bond Index Exchange-Traded Fund (CORP),CORP,ETF ,Corporate Bond,3.0,3.0,3.0,3.0,2.96,7.84,4.72,5.13,NA,6.67,10.16,-1.63,7.43,-0.46,6.16,6.38,-2.71,14.46,10.0,0.17,NA,NA,6.9,5.83,5.27,0.96,0.65,0.86,-5.53,NA,NA,74.92,23.96,6.66
Fidelity Corporate Bond ETF (FCOR),FCOR,ETF ,Corporate Bond,4.0,3.0,N/A,3.0,3.32,8.35,5.17,NA,NA,NA,NA,NA,NA,-2.24,7.53,5.99,-2.92,14.96,10.86,0.3,NA,NA,7.68,6.35,NA,0.91,0.65,NA,4.25,NA,NA,73.07,17.38,5.3
iShares iBoxx $ Investment Grade Corporate Bond ETF (LQD),LQD,ETF ,Corporate Bond,5.0,4.0,4.0,4.0,2.4,8.79,5.09,5.56,9.15,8.89,11.68,-2.49,8.57,-1.08,5.97,7.16,-3.76,17.13,11.14,-0.37,NA,NA,7.72,6.56,5.94,0.98,0.63,0.85,0.78,NA,NA,82.35,13.41,3.46
iShares Broad USD Investment Grade Corporate Bond ETF (USIG),USIG,ETF ,Corporate Bond,3.0,3.0,3.0,3.0,2.91,7.53,4.56,4.78,8.37,8.05,9.12,-2.33,7.37,-0.98,5.46,5.99,-2.4,14.16,9.52,-0.17,NA,NA,7.16,5.97,5.13,0.88,0.6,0.82,0.55,NA,NA,74.39,21.29,3.77
