Columbia Bond Fund Institutional 3 Class (CBFYX),CBFYX,MF,Intermediate Core Bond,5.0,5.0,4.0,5.0,2.68,6.9,4.52,3.89,6.55,7.3,5.98,-2.88,5.59,0.31,4.19,3.95,-0.35,9.52,9.28,0.83,0.4,0.57,5.05,4.32,3.64,1.04,0.66,0.91,7.4,NA,NA,84.57,7.73,0.3
T. Rowe Price New Income Fund I Class (PRXEX),PRXEX,MF,Intermediate Core Bond,3.0,3.0,3.0,3.0,1.57,5.56,NA,NA,NA,NA,NA,NA,NA,NA,2.8,4.16,-0.5,9.39,5.85,0.29,0.39,0.39,5.0,4.25,3.6,0.8,0.47,0.78,-5.12,0.01,NA,91.05,12.74,1.32
American Century Diversified Bond Fund Y Class (ADVYX),ADVYX,MF,Intermediate Core Bond,3.0,3.0,3.0,3.0,0.9,5.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.23,8.61,8.29,0.3,0.37,0.37,3.71,3.4,3.11,1.15,0.58,0.92,5.36,NA,NA,85.27,8.44,0.93
DFA Investment Grade Portfolio Institutional Class Shares (DFAPX),DFAPX,MF,Intermediate Core Bond,5.0,4.0,4.0,4.0,0.1,6.78,4.11,3.72,NA,NA,5.31,-2.87,6.23,1.61,2.57,3.37,-0.24,9.96,9.19,-0.35,0.22,0.22,3.85,3.6,3.53,1.32,0.63,0.91,0.35,NA,NA,89.94,8.82,0.88
PIMCO Total Return Fund IV Institutional Class (PTUIX),PTUIX,MF,Intermediate Core Bond,4.0,4.0,4.0,4.0,1.29,5.99,3.85,3.9,NA,NA,9.3,-1.84,4.16,-0.14,3.06,4.57,-0.77,9.66,7.33,0.17,0.8,0.8,3.98,3.56,3.43,1.1,0.71,0.98,-2.27,NA,NA,89.83,10.74,1.7
Invesco Core Bond Fund Class R6 (OPBIX),OPBIX,MF,Intermediate Core Bond,5.0,5.0,5.0,5.0,0.67,6.74,4.35,NA,NA,NA,NA,0.02,7.16,0.85,2.96,4.81,-0.77,9.75,9.62,NA,0.4,0.41,3.92,3.57,3.26,1.33,0.8,1.24,4.85,NA,NA,86.31,7.64,1.2
Invesco Intermediate Bond Factor Fund Class R6 (OFIIX),OFIIX,MF,Intermediate Core Bond,4.0,5.0,5.0,5.0,1.14,6.13,4.37,NA,NA,NA,NA,1.28,7.15,-0.79,5.3,6.6,-3.79,11.74,7.79,0.08,0.27,0.47,4.09,3.84,4.16,1.17,0.72,1.03,-11.0,NA,NA,91.8,17.11,2.09
American Funds The Bond Fund of America Class F-3 (BFFAX),BFFAX,MF,Intermediate Core Bond,5.0,5.0,4.0,5.0,0.76,6.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,8.39,11.1,-0.05,0.22,0.22,3.35,3.17,3.01,1.57,0.86,1.04,3.81,0.06,NA,83.52,10.78,1.83
Fidelity Advisor Investment Grade Bond Fund Class Z (FIKQX),FIKQX,MF,Intermediate Core Bond,5.0,5.0,4.0,5.0,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.89,9.99,0.11,0.36,0.4,3.8,3.45,3.23,1.39,0.87,1.04,0.93,NA,NA,83.94,13.9,1.23
TCW Core Fixed Income Fund Class Institutional (TGCFX),TGCFX,MF,Intermediate Core Bond,4.0,4.0,4.0,4.0,0.38,6.3,3.75,3.56,10.28,6.98,7.19,-1.54,5.65,0.03,2.28,3.23,0.08,8.75,8.79,-0.11,0.49,0.51,3.52,3.23,2.84,1.32,0.71,1.05,11.39,NA,NA,82.92,4.27,1.42
