Pacific Funds Core Income Fund Class I (PLIIX),PLIIX,MF,Intermediate Core-Plus Bond,4.0,4.0,4.0,4.0,2.52,6.61,4.5,4.46,NA,8.07,9.73,1.13,4.7,-0.62,5.3,5.12,-1.64,11.31,8.7,0.45,0.55,0.73,5.01,4.2,3.83,1.05,0.78,1.03,5.81,NA,NA,78.9,13.55,1.75
BlackRock Total Return Fund Class K Shares (MPHQX),MPHQX,MF,Intermediate Core-Plus Bond,4.0,3.0,4.0,4.0,1.76,6.54,4.2,4.5,10.14,4.68,10.29,-0.08,8.18,0.41,3.51,4.32,-0.82,9.89,9.08,-0.01,0.37,0.38,4.35,3.77,3.39,1.15,0.74,1.16,1.99,0.62,NA,75.82,20.0,1.57
Invesco Core Plus Bond Fund Class R6 (CPBFX),CPBFX,MF,Intermediate Core-Plus Bond,5.0,4.0,5.0,4.0,3.14,7.2,4.98,NA,NA,NA,NA,-0.26,7.32,0.61,5.4,5.32,-2.31,11.5,10.0,0.81,0.46,0.46,5.25,4.46,3.83,1.09,0.78,1.08,2.19,0.11,NA,76.16,18.69,2.85
PGIM Total Return Bond Fund -Class R6 (PTRQX),PTRQX,MF,Intermediate Core-Plus Bond,4.0,4.0,5.0,5.0,1.51,6.68,4.79,4.71,NA,7.93,9.96,-0.91,7.25,0.09,4.83,6.71,-0.63,11.13,8.1,-0.16,0.39,0.41,6.0,5.1,4.41,0.84,0.63,0.94,1.14,0.86,NA,64.58,31.07,2.35
Eaton Vance Core Plus Bond Fund Class I (EIBAX),EIBAX,MF,Intermediate Core-Plus Bond,2.0,5.0,5.0,4.0,9.86,6.23,5.45,5.62,10.58,21.07,8.87,-5.01,11.0,-5.98,11.68,7.71,-0.84,10.81,5.86,3.2,0.49,0.6,8.44,6.73,6.48,0.62,0.68,0.82,2.24,NA,NA,80.49,13.13,4.14
USAA Intermediate Term Bond Fund R6 Shares (URIBX),URIBX,MF,Intermediate Core-Plus Bond,5.0,5.0,5.0,5.0,5.07,7.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14,-0.82,11.3,9.57,1.87,0.39,0.46,5.73,4.77,4.0,1.05,0.87,1.09,6.46,NA,NA,81.45,10.05,2.04
MFS Income Fund Class R6 (MFIWX),MFIWX,MF,Intermediate Core-Plus Bond,4.0,5.0,4.0,4.0,3.43,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.69,9.81,0.73,0.4,0.66,6.28,5.15,4.62,0.93,0.76,0.85,-8.29,NA,0.02,81.12,26.29,0.87
John Hancock Bond Fund Class R6 (JHBSX),JHBSX,MF,Intermediate Core-Plus Bond,4.0,4.0,5.0,4.0,2.79,6.92,4.75,NA,NA,NA,12.01,0.96,6.84,0.25,4.97,5.3,-0.83,10.5,9.24,0.69,0.37,0.38,4.7,4.02,3.66,1.14,0.86,1.17,5.91,0.08,NA,81.74,9.07,3.21
Guggenheim Total Return Bond Fund Institutional Class (GIBIX),GIBIX,MF,Intermediate Core-Plus Bond,4.0,5.0,N/A,5.0,3.54,6.93,5.52,NA,NA,NA,12.92,2.2,8.25,1.23,6.2,6.49,0.93,4.69,15.24,0.5,0.51,0.57,3.86,3.28,NA,1.32,1.27,NA,2.23,1.19,NA,82.58,17.72,-3.72
Western Asset Core Plus Bond Fund Class IS (WAPSX),WAPSX,MF,Intermediate Core-Plus Bond,4.0,5.0,5.0,5.0,1.76,7.09,5.16,4.9,12.1,6.65,8.57,-0.98,7.74,1.32,4.72,6.99,-1.47,12.32,9.51,-0.59,0.42,0.42,5.49,4.72,3.95,1.03,0.78,1.08,-0.28,NA,NA,81.13,17.65,1.5
Loomis Sayles Investment Grade Bond Fund Class N (LGBNX),LGBNX,MF,Intermediate Core-Plus Bond,4.0,5.0,4.0,5.0,4.21,7.01,5.33,NA,NA,NA,NA,NA,5.27,-4.97,6.3,6.85,-0.35,9.11,11.74,0.8,0.45,0.47,5.42,4.54,4.87,1.06,0.94,0.83,5.87,NA,NA,70.53,18.56,5.05
Loomis Sayles Core Plus Bond Fund Class N (NERNX),NERNX,MF,Intermediate Core-Plus Bond,4.0,4.0,5.0,4.0,1.18,6.42,4.66,NA,NA,NA,NA,NA,6.39,-3.84,7.59,5.31,-0.52,9.05,10.71,-0.38,0.38,0.38,3.88,3.46,3.9,1.3,0.98,1.04,10.9,NA,NA,67.05,19.8,2.25
Dodge & Cox Income Fund (DODIX),DODIX,MF,Intermediate Core-Plus Bond,4.0,4.0,4.0,4.0,2.29,6.55,4.64,4.22,7.17,4.76,7.94,0.64,5.48,-0.59,5.61,4.36,-0.31,9.73,9.45,0.25,0.42,0.42,3.82,3.26,3.02,1.34,1.04,1.2,2.55,NA,NA,79.84,15.25,2.36
