Thornburg Limited Term Income Fund Class I (THIIX),THIIX,MF,Short-Term Bond,5.0,5.0,5.0,5.0,1.32,4.91,3.39,3.38,6.63,5.45,7.87,0.26,3.76,0.82,3.49,2.73,1.22,5.75,7.59,0.07,0.49,0.51,2.88,2.38,2.17,1.2,0.9,1.29,9.95,NA,NA,80.22,8.85,0.98
Calvert Short Duration Income Fund Class I (CDSIX),CDSIX,MF,Short-Term Bond,4.0,4.0,5.0,5.0,5.05,4.27,3.15,2.8,4.34,0.95,6.97,1.3,1.3,0.8,3.63,2.52,0.42,6.45,4.76,1.54,0.51,0.52,3.97,3.13,2.51,0.77,0.64,0.88,3.17,NA,NA,78.23,13.8,4.81
Hartford Short Duration Fund Class F (HSDFX),HSDFX,MF,Short-Term Bond,4.0,4.0,4.0,4.0,2.87,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,6.44,4.26,0.7,0.44,0.44,3.94,3.09,2.4,0.69,0.6,0.76,2.8,NA,NA,76.68,17.15,3.37
PGIM Short-Term Corporate Bond Fund- Class R6 (PSTQX),PSTQX,MF,Short-Term Bond,5.0,4.0,5.0,4.0,2.36,4.65,3.12,NA,NA,NA,NA,1.24,1.94,1.17,2.85,2.3,0.72,6.76,5.62,0.55,0.38,0.4,4.08,3.28,2.61,0.83,0.58,0.86,1.27,0.37,NA,71.5,20.41,6.46
Vanguard Short-Term Corporate Bond Index Fund ETF Shares (VCSH),VCSH,ETF ,Short-Term Bond,5.0,4.0,5.0,5.0,1.96,4.51,2.9,2.84,5.51,2.94,5.74,1.37,1.96,1.25,2.63,2.45,0.91,6.85,5.08,0.47,NA,NA,3.33,2.73,2.34,0.98,0.67,0.97,-0.34,NA,NA,79.98,13.66,6.7
JPMorgan Limited Duration Bond Fund Class R6 (JUSUX),JUSUX,MF,Short-Term Bond,2.0,3.0,4.0,3.0,1.38,2.79,2.13,2.44,10.61,1.87,6.64,2.15,2.37,0.75,1.51,2.16,2.16,3.78,2.79,0.48,0.25,0.32,2.32,1.82,1.44,0.68,0.63,1.25,8.84,NA,NA,85.99,4.36,0.81
JPMorgan Short Duration Core Plus Fund Class R6 (JSDRX),JSDRX,MF,Short-Term Bond,5.0,5.0,N/A,5.0,2.84,4.37,3.79,NA,NA,NA,NA,NA,1.13,-2.45,10.72,4.22,0.92,6.1,5.18,0.77,0.33,0.36,2.99,2.56,NA,1.04,1.24,NA,7.02,0.04,NA,71.33,15.49,6.12
PGIM Short Duration Multi-Sector Bond Fund- Class R6 (SDMQX),SDMQX,MF,Short-Term Bond,4.0,4.0,N/A,4.0,2.85,3.96,3.09,NA,NA,NA,NA,NA,1.68,0.22,3.77,3.75,1.04,6.57,4.03,0.5,0.32,0.37,4.17,3.32,NA,0.66,0.62,NA,2.45,1.11,NA,62.43,31.45,2.57
USAA Short Term Bond Fund R6 Shares (URSBX),URSBX,MF,Short-Term Bond,4.0,4.0,4.0,4.0,3.83,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,1.53,5.05,4.75,1.39,0.39,0.45,3.26,2.6,1.98,0.87,0.73,0.97,5.98,NA,NA,80.4,12.67,0.95
Lord Abbett Short Duration Income Fund Class F3 (LOLDX),LOLDX,MF,Short-Term Bond,3.0,4.0,5.0,3.0,3.78,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73,5.69,3.21,1.32,0.32,0.32,4.32,3.37,2.64,0.58,0.57,0.88,4.53,0.16,NA,71.64,22.79,0.88
