Columbia Acorn International Select Fund Institutional 3 Class (CSIRX),CSIRX,MF,Foreign Large Growth,2.0,4.0,3.0,3.0,27.16,12.87,12.62,NA,NA,NA,NA,14.82,-6.71,-0.89,1.29,35.81,-12.14,33.9,18.67,7.92,0.84,1.05,20.66,17.01,15.05,0.62,0.86,0.58,2.27,NA,97.73,NA,NA,NA
Franklin International Growth Fund Class R6 (FILRX),FILRX,MF,Foreign Large Growth,4.0,4.0,4.0,4.0,25.66,15.93,14.36,NA,NA,NA,NA,NA,-4.31,0.5,1.77,37.24,-14.16,37.42,33.01,6.11,0.74,0.82,21.35,17.62,16.6,0.76,0.99,0.61,2.72,9.33,87.95,NA,NA,NA
Invesco International Diversified Fund Class R6 (OIDIX),OIDIX,MF,Foreign Large Growth,2.0,3.0,3.0,3.0,25.6,10.64,9.84,NA,NA,NA,NA,25.47,-5.79,1.13,1.03,32.97,-14.27,25.15,20.99,5.52,0.85,0.85,17.33,14.58,14.16,0.64,0.84,0.59,3.02,2.49,93.87,NA,NA,0.62
BNY Mellon International Stock Fund Class Y (DISYX),DISYX,MF,Foreign Large Growth,4.0,4.0,3.0,4.0,23.28,14.31,11.72,NA,NA,NA,NA,NA,-5.02,-0.61,4.69,26.99,-7.61,27.78,19.37,8.81,0.89,0.89,13.95,12.04,12.78,0.94,1.05,0.61,2.56,2.06,95.39,NA,NA,NA
Fidelity Advisor Diversified International Fund Class Z (FZABX),FZABX,MF,Foreign Large Growth,3.0,3.0,3.0,3.0,24.6,13.06,8.88,NA,NA,NA,NA,NA,-2.88,4.3,-2.52,27.07,-15.18,29.97,19.79,8.89,0.77,0.77,16.76,14.07,14.56,0.75,0.85,0.59,3.85,7.38,88.33,NA,NA,0.43
T. Rowe Price International Stock Fund I Class (PRIUX),PRIUX,MF,Foreign Large Growth,2.0,2.0,2.0,2.0,22.05,10.0,NA,NA,NA,NA,NA,NA,NA,NA,2.49,28.4,-13.81,28.05,14.79,5.19,0.66,0.66,17.57,14.61,15.09,0.64,0.8,0.5,2.07,1.64,95.99,NA,NA,0.3
Invesco International Select Equity Fund Class Y (IZIYX),IZIYX,MF,Foreign Large Growth,2.0,2.0,N/A,2.0,16.87,10.56,NA,NA,NA,NA,NA,NA,NA,NA,6.31,31.42,-19.35,35.49,28.04,-6.1,0.88,1.36,19.99,16.55,NA,0.66,0.75,NA,2.76,NA,97.24,NA,NA,NA
ClearBridge International Growth Fund Class IS (LMGPX),LMGPX,MF,Foreign Large Growth,3.0,4.0,5.0,4.0,23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.53,25.02,3.84,0.72,0.72,16.83,14.15,14.09,0.77,1.04,0.77,1.54,10.15,87.64,NA,NA,0.67
American Funds EuroPacific Growth Fund Class F-3 (FEUPX),FEUPX,MF,Foreign Large Growth,3.0,3.0,3.0,3.0,29.66,13.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.91,27.42,25.24,7.33,0.46,0.46,18.7,15.47,14.92,0.72,0.88,0.56,3.57,0.94,95.32,0.05,NA,0.13
American Funds International Vantage Fund Class F-3 (AIVGX),AIVGX,MF,Foreign Large Growth,3.0,3.0,3.0,3.0,21.43,12.55,9.45,7.84,NA,NA,18.08,17.73,-3.7,-0.34,-2.54,30.16,-10.48,28.16,16.36,7.81,0.65,0.71,14.71,12.6,12.89,0.83,0.92,0.59,10.44,0.88,88.68,NA,NA,NA
Hartford International Growth Fund Class F (HNCFX),HNCFX,MF,Foreign Large Growth,3.0,3.0,4.0,3.0,26.68,12.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.25,27.91,23.65,8.14,0.85,0.9,17.43,14.79,14.54,0.76,0.89,0.6,2.93,2.56,94.51,NA,NA,NA
Baillie Gifford International Alpha Fund Class K (BGIKX),BGIKX,MF,Foreign Large Growth,3.0,3.0,3.0,3.0,22.55,13.65,NA,NA,14.67,-11.92,22.38,15.28,-2.94,-1.89,5.24,NA,-16.54,32.16,26.55,4.78,0.59,0.59,18.29,15.34,15.53,0.79,0.96,0.6,1.02,5.06,93.92,NA,NA,NA
John Hancock Funds International Growth Fund Class R6 (JIGTX),JIGTX,MF,Foreign Large Growth,3.0,4.0,5.0,4.0,26.07,13.45,11.47,NA,NA,NA,NA,NA,NA,NA,-4.74,36.84,-11.89,27.95,22.57,9.76,0.88,0.89,16.24,14.06,13.64,0.83,0.97,0.77,0.46,3.83,95.71,NA,NA,NA
PGIM Jennison International Opportunities Fund- Class R6 (PWJQX),PWJQX,MF,Foreign Large Growth,5.0,5.0,N/A,5.0,38.87,26.1,NA,NA,NA,NA,NA,NA,NA,NA,-9.39,49.55,-12.82,38.29,55.61,13.78,0.84,0.91,19.14,16.74,NA,1.2,1.32,NA,-0.25,4.78,94.84,NA,NA,0.63
MFS International Intrinsic Value Fund Class R6 (MINJX),MINJX,MF,Foreign Large Growth,4.0,3.0,5.0,4.0,19.87,13.45,11.64,11.29,9.32,-1.81,16.13,27.8,1.61,6.85,4.31,27.25,-8.89,25.99,20.56,7.41,0.63,0.63,13.69,11.79,11.61,0.9,1.0,0.91,5.58,13.24,81.19,NA,NA,NA
