Columbia Contrarian Core Fund Institutional 3 Class (COFYX),COFYX,MF,Large Blend,4.0,3.0,4.0,3.0,39.9,19.42,14.82,NA,NA,NA,NA,36.04,13.14,3.25,8.77,21.89,-8.81,33.08,22.44,18.3,0.64,0.64,19.17,15.5,14.24,0.99,1.04,1.01,0.91,97.01,2.08,NA,NA,NA
American Century Sustainable Equity Fund Y Class (AFYDX),AFYDX,MF,Large Blend,4.0,5.0,4.0,4.0,37.24,19.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.19,34.27,19.74,17.87,0.44,0.44,18.61,15.24,13.74,1.0,1.15,1.02,0.05,97.18,2.76,NA,NA,NA
Calvert US Large Cap Core Responsible Index Fund Class I (CISIX),CISIX,MF,Large Blend,5.0,5.0,5.0,5.0,38.81,21.01,15.84,16.24,13.73,0.05,17.71,35.04,14.41,1.14,10.71,21.18,-4.07,32.82,26.11,16.63,0.24,0.37,18.76,15.16,13.87,1.06,1.16,1.08,0.37,99.17,0.46,NA,NA,NA
GuideStone Funds Equity Index Fund Institutional Class (GEQYX),GEQYX,MF,Large Blend,4.0,4.0,5.0,5.0,37.43,18.36,15.32,15.36,14.57,3.0,15.91,32.04,13.54,0.92,12.16,21.97,-4.29,31.68,18.19,17.98,0.13,0.13,18.43,14.92,13.52,0.96,1.1,1.05,2.41,96.57,1.01,NA,NA,NA
"BNY Mellon Appreciation Fund, Inc. - Class Y (DGYGX)",DGYGX,MF,Large Blend,5.0,5.0,3.0,5.0,38.98,21.88,16.38,NA,NA,NA,NA,NA,8.68,-2.22,7.63,27.04,-6.1,35.58,24.4,18.95,0.59,0.59,17.43,14.17,13.07,1.14,1.22,0.99,0.98,87.54,11.48,NA,NA,NA
MFS Core Equity Fund Class R6 (MRGKX),MRGKX,MF,Large Blend,4.0,5.0,5.0,5.0,37.76,18.94,15.56,NA,NA,NA,NA,NA,11.47,-0.05,11.5,24.85,-3.82,33.19,18.97,17.91,0.64,0.64,18.52,14.85,13.72,0.96,1.16,1.04,0.92,95.38,3.7,NA,NA,NA
BlackRock Advantage ESG U.S. Equity Fund Class K (BIRKX),BIRKX,MF,Large Blend,4.0,5.0,N/A,5.0,41.41,19.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.53,-5.46,31.33,22.45,19.07,0.43,0.74,19.52,15.73,NA,0.94,1.11,NA,1.01,98.25,0.74,NA,NA,NA
JPMorgan U.S. Research Enhanced Equity Fund Class R6 (JDEUX),JDEUX,MF,Large Blend,4.0,4.0,4.0,4.0,39.62,19.38,14.63,15.41,15.5,1.25,17.3,34.25,15.84,-2.16,9.85,21.63,-5.5,31.56,20.78,19.28,0.25,0.34,19.15,15.47,14.12,0.98,1.09,1.01,1.32,96.93,1.75,NA,NA,NA
JPMorgan U.S. Equity Fund Class R6 (JUEMX),JUEMX,MF,Large Blend,5.0,5.0,5.0,5.0,38.03,20.5,15.94,16.08,NA,-1.33,17.43,36.2,13.98,0.9,10.91,21.71,-5.86,32.28,26.74,17.51,0.44,0.48,19.3,15.66,14.52,1.01,1.13,1.02,1.15,95.69,3.15,NA,NA,NA
Goldman Sachs Capital Growth Fund Class R6 (GSPUX),GSPUX,MF,Large Blend,4.0,5.0,5.0,5.0,39.25,19.43,NA,NA,NA,NA,NA,NA,NA,NA,2.35,32.33,-2.38,32.75,23.27,16.7,0.74,0.82,18.59,15.22,14.48,0.98,1.2,1.02,0.29,95.89,3.82,NA,NA,NA
Pioneer Fund Class K (PIOKX),PIOKX,NA,Large Blend,N/A,N/A,N/A,N/A,39.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.33,19.29,0.61,0.73,17.27,14.13,13.57,1.21,1.25,0.99,0.02,98.97,1.01,NA,NA,NA
Jensen Quality Growth Fund Class Y (JENYX),JENYX,MF,Large Blend,5.0,5.0,5.0,5.0,35.29,19.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.61,2.53,29.4,18.7,16.93,0.54,0.54,16.51,13.53,12.58,1.04,1.18,1.09,0.75,99.25,NA,NA,NA,NA
SPDR S&P 500 Fossil Fuel Reserves Free ETF (SPYX),SPYX,ETF ,Large Blend,4.0,5.0,N/A,5.0,40.9,19.23,18.5,NA,NA,NA,NA,NA,NA,NA,10.91,22.88,-4.32,32.15,19.67,17.76,NA,NA,18.28,14.83,NA,0.99,1.13,NA,0.02,98.95,1.04,NA,NA,NA
NA,EUSA,ETF ,Large Blend,2.0,2.0,3.0,3.0,49.64,16.39,15.94,13.62,NA,1.84,15.94,32.38,13.2,-2.18,14.08,19.1,-8.16,29.84,15.16,19.65,NA,NA,21.74,17.39,15.06,0.76,0.87,0.88,0.18,97.79,2.03,NA,NA,NA
VictoryShares US 500 Volatility Wtd ETF (CFA),CFA,ETF ,Large Blend,2.0,2.0,N/A,2.0,42.69,14.53,15.41,NA,NA,NA,NA,NA,NA,-0.51,14.41,22.39,-8.62,30.33,11.91,17.78,NA,NA,19.98,16.06,NA,0.72,0.9,NA,0.06,98.93,1.01,NA,NA,NA
iShares S&P 100 ETF (OEF),OEF,ETF ,Large Blend,5.0,5.0,5.0,5.0,39.71,20.06,18.32,15.09,12.32,2.97,15.8,30.06,12.5,2.49,11.16,21.77,-4.05,31.98,21.21,18.73,NA,NA,18.21,14.83,13.42,1.03,1.14,1.07,0.31,99.05,0.64,NA,NA,NA
Vanguard Large-Cap Index Fund ETF Shares (VV),VV,ETF ,Large Blend,4.0,4.0,5.0,5.0,42.42,19.33,18.12,14.92,15.81,1.58,16.09,32.65,13.39,1.07,11.65,22.03,-4.44,31.39,20.99,18.26,NA,NA,18.78,15.17,13.75,0.97,1.1,1.04,-0.01,99.07,0.94,NA,NA,NA
iShares MSCI USA ESG Select ETF (SUSA),SUSA,ETF ,Large Blend,5.0,5.0,4.0,5.0,44.57,21.0,18.95,14.42,14.07,1.58,10.23,30.87,13.49,-1.89,12.25,22.52,-5.56,32.18,24.64,20.14,NA,NA,18.35,14.86,13.73,1.07,1.16,1.01,0.2,98.41,1.39,NA,NA,NA
NA,XLG,ETF ,Large Blend,5.0,5.0,5.0,5.0,38.5,21.07,19.19,15.66,9.22,4.18,15.35,28.78,11.41,4.24,11.13,22.97,-3.48,32.19,24.27,17.84,NA,NA,18.36,14.96,13.43,1.07,1.17,1.11,-0.04,100.04,NA,NA,NA,NA
