Invesco DWA Momentum ETF (PDP),PDP,ETF ,Large Growth,2.0,1.0,2.0,2.0,33.06,17.65,16.66,13.55,26.43,1.83,17.9,31.79,12.13,1.3,2.17,23.37,-5.89,33.2,36.43,6.36,NA,NA,19.28,15.76,14.18,0.88,0.99,0.93,0.03,99.34,0.63,NA,NA,NA
NA,CGFYX,MF,Large Growth,4.0,3.0,4.0,4.0,41.3,24.87,18.08,17.64,17.63,-2.66,20.74,30.79,14.43,9.29,1.23,28.11,-3.82,36.31,34.5,21.44,0.69,0.69,19.49,16.0,15.12,1.16,1.3,1.08,0.27,98.57,1.16,NA,NA,NA
Invesco Capital Appreciation Fund Class R6 (OPTIX),OPTIX,MF,Large Growth,3.0,3.0,3.0,3.0,36.72,23.96,16.2,NA,NA,NA,14.25,29.82,15.55,3.66,-1.94,27.04,-5.58,36.97,36.76,16.19,0.67,0.67,20.65,16.91,15.29,1.09,1.18,0.97,0.54,94.26,5.21,NA,NA,NA
DFA U.S. Large Cap Growth Portfolio Institutional Class (DUSLX),DUSLX,MF,Large Growth,2.0,2.0,N/A,2.0,32.93,19.29,16.23,NA,NA,NA,NA,33.93,12.41,1.64,9.6,25.53,-1.99,32.17,21.8,15.65,0.19,0.19,18.07,14.77,NA,1.0,1.15,NA,0.79,98.83,0.38,NA,NA,NA
Columbia Select Large Cap Growth Fund Institutional 3 Class (CCWRX),CCWRX,MF,Large Growth,3.0,3.0,2.0,3.0,39.86,25.0,17.45,NA,NA,NA,NA,44.61,8.69,8.01,-8.34,35.54,-4.93,37.97,48.14,12.94,0.67,0.72,23.55,19.52,18.95,1.01,1.13,0.86,0.57,99.43,NA,NA,NA,NA
Fidelity Advisor Equity Growth Fund Class Z (FZAFX),FZAFX,MF,Large Growth,4.0,4.0,4.0,4.0,37.36,25.59,20.03,NA,NA,NA,NA,NA,11.37,7.19,0.71,35.38,-0.0,34.19,43.9,15.56,0.61,0.61,19.18,15.86,14.93,1.24,1.44,1.14,0.4,82.43,16.7,NA,NA,0.47
Fidelity Advisor Diversified Stock Fund Class Z (FZACX),FZACX,MF,Large Growth,2.0,2.0,3.0,2.0,37.18,18.87,15.43,NA,NA,NA,NA,NA,11.07,-5.31,17.06,19.22,-5.27,28.14,27.43,18.02,0.49,0.49,17.75,14.78,14.12,1.03,1.22,1.03,0.7,88.76,9.49,NA,NA,1.05
Amana Mutual Funds Trust Growth Fund Institutional (AMIGX),AMIGX,MF,Large Growth,4.0,4.0,3.0,4.0,41.62,26.29,19.68,NA,NA,NA,NA,NA,14.29,-0.21,7.85,29.29,2.67,33.41,33.19,19.29,0.76,0.76,17.01,14.08,13.07,1.38,1.45,1.14,3.68,81.32,15.01,NA,NA,NA
American Funds The Growth Fund of America Class F-3 (GAFFX),GAFFX,MF,Large Growth,3.0,3.0,3.0,3.0,36.78,20.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61,28.53,38.28,12.27,0.3,0.3,19.27,15.67,14.42,1.01,1.24,1.07,3.57,84.35,11.63,0.01,NA,0.45
MFS Growth Fund Class R6 (MFEKX),MFEKX,MF,Large Growth,4.0,4.0,4.0,4.0,32.16,24.33,19.42,NA,NA,NA,17.39,36.74,8.88,7.49,2.55,30.99,2.68,37.81,31.74,17.14,0.53,0.53,18.06,15.04,13.97,1.19,1.39,1.19,0.04,95.53,4.43,NA,NA,NA
John Hancock U.S. Global Leaders Growth Fund Class R6 (UGLSX),UGLSX,MF,Large Growth,4.0,3.0,4.0,3.0,34.06,25.94,18.66,NA,NA,NA,19.85,26.64,8.94,8.5,1.09,25.75,3.95,33.48,35.85,16.46,0.79,0.8,17.74,14.78,13.89,1.31,1.34,1.15,0.67,97.26,2.06,NA,NA,NA
ClearBridge Large Cap Growth Fund Class IS (LSITX),LSITX,MF,Large Growth,3.0,3.0,4.0,3.0,31.61,21.08,17.78,NA,NA,NA,NA,NA,13.66,9.52,7.27,25.53,0.05,32.22,31.31,13.44,0.62,0.62,19.3,15.63,14.22,1.06,1.23,1.18,0.93,91.09,7.98,NA,NA,NA
Franklin Growth Series Class R6 (FIFRX),FIFRX,MF,Large Growth,3.0,3.0,3.0,3.0,36.65,21.74,17.31,NA,NA,NA,NA,NA,15.36,2.36,8.86,27.36,-3.06,32.66,31.08,15.13,0.48,0.49,18.92,15.33,13.7,1.07,1.24,1.1,0.68,93.43,5.89,NA,NA,NA
Franklin Growth Opportunities Fund Class R6 (FOPPX),FOPPX,MF,Large Growth,4.0,4.0,3.0,4.0,34.56,25.48,17.68,NA,NA,NA,NA,NA,8.33,6.3,-2.5,29.26,-0.65,34.28,45.87,15.01,0.59,0.59,21.19,17.33,16.46,1.11,1.27,0.97,-0.24,92.69,4.59,NA,NA,2.96
Delaware Ivy Large Cap Growth Fund Class R6 (ILGRX),ILGRX,MF,Large Growth,4.0,4.0,4.0,4.0,36.35,25.01,18.94,NA,NA,NA,NA,NA,NA,7.2,1.54,29.63,2.51,36.88,31.19,19.21,0.64,0.66,18.3,15.19,14.61,1.22,1.41,1.11,0.23,98.1,1.67,NA,NA,NA
Invesco Summit Fund Class R6 (SMISX),SMISX,MF,Large Growth,3.0,3.0,3.0,3.0,34.24,24.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.66,38.85,42.36,11.67,0.7,0.7,21.14,17.3,16.17,1.14,1.31,1.03,0.07,84.66,15.26,NA,NA,NA
Invesco American Franchise Fund Class R6 (VAFFX),VAFFX,MF,Large Growth,3.0,3.0,3.0,3.0,32.78,23.37,18.31,NA,NA,NA,NA,40.4,8.74,5.42,2.51,27.6,-3.43,37.11,42.69,11.67,0.62,0.62,20.74,17.17,16.34,1.1,1.26,0.97,0.06,87.29,12.65,NA,NA,NA
Nuveen Winslow Large-Cap Growth ESG Fund Class R6 (NWCFX),NWCFX,MF,Large Growth,4.0,4.0,4.0,4.0,39.04,25.39,19.48,NA,NA,NA,NA,NA,10.76,6.71,-1.91,33.11,3.72,33.66,38.15,19.3,0.44,0.74,19.4,16.25,15.62,1.15,1.35,1.04,0.53,91.73,7.74,NA,NA,NA
The Hartford Growth Opportunities Fund Class F (HGOFX),HGOFX,MF,Large Growth,4.0,4.0,4.0,4.0,37.4,26.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,30.47,61.99,10.98,0.74,0.74,23.0,18.69,17.27,1.07,1.23,1.05,0.6,94.8,1.78,NA,NA,2.82
Lord Abbett Growth Leaders Fund Class F3 (LGLOX),LGLOX,MF,Large Growth,5.0,5.0,5.0,5.0,38.66,31.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.64,35.18,77.55,6.26,0.59,0.59,22.92,18.57,16.45,1.2,1.34,1.11,NA,99.12,0.88,NA,NA,NA
BlackRock Capital Appreciation Fund K Shares (BFGBX),BFGBX,MF,Large Growth,4.0,4.0,3.0,4.0,38.5,24.65,19.14,17.01,19.67,-8.78,14.29,34.29,8.72,7.29,0.03,33.19,2.11,32.33,40.59,17.38,0.64,0.64,19.58,16.31,15.53,1.12,1.37,1.02,0.22,83.96,15.18,NA,NA,0.64
Federated Hermes Kaufmann Large Cap Fund Class R6 (KLCSX),KLCSX,MF,Large Growth,3.0,3.0,3.0,3.0,28.37,22.45,15.98,NA,NA,NA,NA,NA,12.18,3.24,4.67,23.63,0.16,38.2,28.64,12.87,0.78,0.87,19.6,15.82,15.68,1.03,1.18,1.01,0.7,88.8,10.5,NA,NA,NA
John Hancock Funds III U.S. Growth Fund - Class R6 (JSGTX),JSGTX,MF,Large Growth,3.0,3.0,N/A,3.0,31.34,21.91,17.6,NA,NA,NA,NA,NA,NA,NA,3.93,29.33,-0.2,34.9,30.07,14.44,0.64,0.65,18.9,15.62,NA,1.05,1.24,NA,0.32,98.55,1.14,NA,NA,NA
Goldman Sachs Large Cap Growth Insights Fund Class R6 (GLCUX),GLCUX,MF,Large Growth,3.0,3.0,4.0,3.0,37.08,21.47,NA,NA,NA,NA,NA,NA,NA,NA,7.87,29.73,-4.52,29.66,32.16,18.7,0.53,0.57,20.22,16.39,14.81,0.98,1.18,1.1,NA,100.0,NA,NA,NA,NA
Vanguard S&P 500 Growth Index Fund ETF Shares (VOOG),VOOG,ETF ,Large Growth,3.0,3.0,4.0,4.0,41.46,22.98,21.66,17.13,NA,4.44,14.44,32.57,14.73,5.39,6.74,27.21,-0.18,31.03,33.33,19.3,NA,NA,18.74,15.3,13.78,1.13,1.29,1.18,0.02,99.45,0.53,NA,NA,NA
BlackRock Large Cap Focus Growth Fund Class K (MKFOX),MKFOX,NA,Large Growth,N/A,N/A,N/A,N/A,37.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.75,14.51,0.62,0.73,19.65,16.38,15.59,1.15,1.38,1.05,0.29,81.34,16.58,NA,NA,1.79
Goldman Sachs Strategic Growth Fund Class R6 (GGRUX),GGRUX,MF,Large Growth,4.0,4.0,4.0,4.0,40.52,25.15,NA,NA,NA,NA,NA,NA,NA,NA,1.81,30.73,-1.15,35.68,41.6,14.98,0.74,0.97,20.14,16.36,14.91,1.14,1.3,1.11,0.93,95.5,3.57,NA,NA,NA
