Columbia Dividend Income Fund Institutional 3 Class (CDDYX),CDDYX,MF,Large Value,5.0,5.0,5.0,5.0,33.61,14.86,13.39,NA,NA,NA,NA,28.89,12.89,0.84,13.63,20.95,-4.28,28.31,7.91,17.46,0.57,0.57,16.32,13.3,11.99,0.9,0.99,1.05,3.19,94.48,2.33,NA,NA,NA
Columbia Select Large Cap Value Fund Institutional 3 Class (CSRYX),CSRYX,MF,Large Value,3.0,4.0,4.0,4.0,42.46,11.7,11.88,NA,NA,NA,NA,NA,NA,-5.41,20.81,20.5,-12.0,27.03,6.53,19.62,0.43,0.77,22.95,18.59,17.0,0.62,0.79,0.76,4.32,89.82,5.49,NA,NA,0.37
Calvert US Large Cap Value Responsible Index Fund Class I (CFJIX),CFJIX,MF,Large Value,4.0,4.0,N/A,4.0,42.08,13.7,11.38,NA,NA,NA,NA,NA,NA,NA,17.2,15.16,-10.06,29.38,9.03,17.37,0.24,0.38,20.5,16.52,NA,0.72,0.81,NA,0.2,98.82,0.99,NA,NA,NA
Dodge & Cox Stock Fund (DODGX),DODGX,MF,Large Value,3.0,5.0,5.0,5.0,53.26,13.9,12.95,14.26,13.49,-4.08,22.01,40.55,10.4,-4.49,21.28,18.33,-7.07,24.83,7.16,25.27,0.52,0.52,23.56,19.14,16.75,0.69,0.88,0.83,1.7,88.45,9.86,NA,NA,NA
The Hartford Dividend and Growth Fund Class F (HDGFX),HDGFX,MF,Large Value,5.0,5.0,5.0,5.0,39.2,14.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.19,28.25,8.05,19.6,0.65,0.65,18.31,14.83,13.34,0.82,0.94,0.93,3.06,92.2,4.75,NA,NA,NA
JPMorgan Equity Income Fund Class R6 (OIEJX),OIEJX,MF,Large Value,4.0,4.0,5.0,4.0,36.28,12.82,11.87,NA,NA,NA,NA,31.81,14.04,-1.96,15.17,17.84,-4.24,26.6,3.88,17.69,0.47,0.48,18.2,14.83,12.98,0.74,0.85,0.95,2.39,96.25,1.36,NA,NA,NA
JPMorgan U.S. Value Fund Class R6 (VGINX),VGINX,MF,Large Value,4.0,4.0,5.0,4.0,41.14,12.98,NA,NA,NA,NA,NA,NA,NA,NA,15.35,17.71,-7.25,28.48,4.8,19.97,0.44,0.53,20.15,16.37,14.52,0.7,0.84,0.88,2.23,95.82,1.95,NA,NA,NA
BlackRock Equity Dividend Fund K Shares (MKDVX),MKDVX,MF,Large Value,3.0,4.0,4.0,4.0,35.22,11.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.92,-7.05,27.68,4.01,16.06,0.59,0.6,19.1,15.63,13.43,0.67,0.8,0.83,6.03,74.14,19.83,NA,NA,NA
JPMorgan Large Cap Value Fund Class R6 (JLVMX),JLVMX,MF,Large Value,2.0,3.0,3.0,3.0,53.38,12.46,12.18,13.41,NA,-4.46,16.64,36.23,14.75,-1.65,22.39,17.92,-14.96,27.74,10.81,18.7,0.44,0.51,26.16,21.21,18.1,0.62,0.75,0.75,1.32,97.64,1.04,NA,NA,NA
ProShares S&P 500 Dividend Aristocrats ETF (NOBL),NOBL,ETF ,Large Value,5.0,4.0,N/A,4.0,37.56,15.83,13.18,NA,NA,NA,NA,NA,15.38,0.46,11.43,21.23,-3.18,27.45,8.32,17.02,NA,NA,17.96,14.77,NA,0.84,0.84,NA,0.13,95.19,4.68,NA,NA,NA
