"BlackRock Advantage SMID Cap Fund, Inc.Class K (MKSPX)",MKSPX,MF,Mid-Cap Blend,5.0,4.0,3.0,5.0,31.03,15.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.91,19.83,11.28,0.43,0.58,19.34,16.89,16.77,0.82,0.89,0.73,3.24,95.52,1.42,NA,NA,-0.19
Invesco Main Street Mid Cap Fund Class R6 (OPMIX),OPMIX,MF,Mid-Cap Blend,3.0,3.0,3.0,3.0,38.26,12.3,10.47,NA,NA,NA,NA,34.04,12.78,-6.85,13.92,15.18,-11.89,32.74,9.6,17.87,0.69,0.69,22.58,17.8,16.3,0.59,0.71,0.7,0.36,98.79,0.85,NA,NA,NA
Fidelity Advisor Mid Cap II Fund Class Z (FZAMX),FZAMX,MF,Mid-Cap Blend,2.0,3.0,2.0,3.0,46.93,11.51,10.49,NA,NA,NA,NA,NA,6.36,-1.38,12.06,20.71,-14.74,23.84,18.84,15.28,0.63,0.63,24.05,19.27,16.88,0.54,0.73,0.67,0.8,91.14,8.06,NA,NA,NA
ClearBridge Mid Cap Fund Class IS (LSIRX),LSIRX,MF,Mid-Cap Blend,5.0,4.0,4.0,4.0,46.93,16.88,11.67,12.99,22.71,-3.22,18.69,37.81,8.29,2.72,8.9,13.21,-12.56,33.38,16.59,19.15,0.75,0.77,22.48,18.05,17.09,0.74,0.81,0.73,0.57,93.94,5.49,NA,NA,NA
Hartford Schroders US MidCap Opportunities Fund Class F (HFDFX),HFDFX,MF,Mid-Cap Blend,3.0,3.0,4.0,3.0,39.0,12.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.85,28.19,9.26,17.56,0.82,0.82,21.06,16.88,14.98,0.62,0.73,0.79,3.57,93.44,2.99,NA,NA,NA
Lord Abbett Value Opportunities Fund Class F3 (LVOOX),LVOOX,MF,Mid-Cap Blend,3.0,3.0,3.0,3.0,42.62,13.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.52,23.27,15.59,17.99,0.83,0.83,21.56,17.39,16.03,0.63,0.69,0.67,NA,97.45,2.55,NA,NA,NA
Goldman Sachs Mid Cap Value Fund Class R6 (GCMUX),GCMUX,MF,Mid-Cap Blend,4.0,3.0,3.0,3.0,45.86,13.96,NA,NA,NA,NA,NA,NA,NA,NA,13.33,11.11,-10.49,32.02,8.8,18.18,0.84,0.84,21.63,17.29,15.65,0.68,0.72,0.68,0.28,94.53,5.2,NA,NA,NA
JPMorgan SMID Cap Equity Fund Class R6 (WOOSX),WOOSX,MF,Mid-Cap Blend,3.0,2.0,3.0,2.0,38.5,11.92,NA,NA,NA,NA,NA,NA,NA,NA,12.37,17.29,-11.41,26.46,10.44,16.13,0.64,0.69,22.36,17.81,16.05,0.54,0.67,0.71,1.38,96.85,1.77,NA,NA,NA
Schwab U.S. Mid-Cap ETF (SCHM),SCHM,ETF ,Mid-Cap Blend,3.0,3.0,4.0,4.0,50.58,14.23,14.9,12.96,NA,NA,17.44,36.36,10.23,-0.01,14.44,19.58,-8.68,27.51,15.25,15.18,NA,NA,23.77,18.96,16.91,0.63,0.77,0.77,0.08,99.29,0.63,NA,NA,NA
Invesco Dynamic Market ETF (PWC),PWC,ETF ,Mid-Cap Blend,2.0,3.0,3.0,3.0,39.16,7.77,12.7,11.35,17.2,-5.94,21.66,40.75,8.96,-0.53,12.86,19.54,-5.85,13.43,8.48,15.63,NA,NA,20.18,16.46,15.81,0.42,0.74,0.72,0.08,91.88,8.04,NA,NA,NA
