ClearBridge Select Fund Class IS (LCSSX),LCSSX,MF,Mid-Cap Growth,5.0,5.0,N/A,5.0,47.21,31.55,25.25,NA,NA,NA,NA,50.55,13.66,-3.87,4.26,39.04,10.55,33.6,58.86,19.11,1.03,1.03,23.86,19.18,NA,1.22,1.55,NA,8.49,82.16,7.47,NA,NA,1.88
Morgan Stanley Institutional Fund Trust Discovery Portfolio Class IS (MMCGX),MMCGX,MF,Mid-Cap Growth,5.0,5.0,5.0,5.0,38.91,48.41,27.16,NA,NA,NA,NA,NA,1.49,-5.73,-13.3,39.35,12.23,39.96,142.66,1.62,0.64,0.64,31.64,26.02,22.27,1.4,1.38,0.89,10.05,87.4,2.34,NA,NA,0.21
T. Rowe Price New Horizons Fund I Class (PRJIX),PRJIX,MF,Mid-Cap Growth,5.0,5.0,5.0,5.0,37.44,30.1,NA,NA,NA,NA,NA,NA,NA,NA,7.95,31.67,4.17,37.85,57.92,12.28,0.64,0.64,21.6,17.54,16.45,1.25,1.46,1.19,0.36,78.33,14.53,NA,NA,6.78
Alger Weatherbie Specialized Growth Fund Class Y (ASYMX),ASYMX,MF,Mid-Cap Growth,4.0,5.0,3.0,4.0,41.59,26.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.82,39.73,57.45,8.91,0.87,0.94,28.17,22.85,19.9,0.92,1.13,0.82,2.1,85.72,12.18,NA,NA,NA
First Trust Mid Cap Growth AlphaDEX Fund (FNY),FNY,ETF ,Mid-Cap Growth,2.0,3.0,3.0,3.0,58.08,20.51,20.52,14.1,NA,NA,9.9,36.64,4.98,-1.2,9.42,24.92,-7.36,32.58,36.9,13.88,NA,NA,23.61,19.18,16.94,0.86,1.01,0.83,0.02,99.76,0.22,NA,NA,NA
Vanguard Extended Market Index Fund ETF Shares (VXF),VXF,ETF ,Mid-Cap Growth,2.0,2.0,2.0,2.0,61.55,18.6,18.8,14.02,27.55,-3.61,18.48,38.37,7.55,-3.26,16.16,18.1,-9.37,28.04,32.19,14.2,NA,NA,25.32,20.29,18.04,0.76,0.9,0.79,NA,98.25,1.75,NA,NA,NA
SPDR S&P 400 Mid Cap Growth ETF (MDYG),MDYG,ETF ,Mid-Cap Growth,2.0,2.0,2.0,2.0,45.07,14.03,15.12,12.44,26.7,-1.07,17.05,32.46,7.39,1.96,14.61,19.74,-10.43,26.08,22.52,13.46,NA,NA,21.63,17.49,15.85,0.66,0.83,0.78,0.04,99.48,0.48,NA,NA,NA
Vanguard S&P Mid-Cap 400 Growth Index Fund ETF Shares (IVOG),IVOG,ETF ,Mid-Cap Growth,2.0,1.0,2.0,2.0,45.25,14.04,15.05,12.43,NA,-1.15,17.11,32.5,7.38,1.85,14.55,19.72,-10.5,26.12,22.51,13.48,NA,NA,21.65,17.51,15.88,0.66,0.83,0.78,NA,99.56,0.44,NA,NA,NA
iShares Russell Mid-Cap Growth ETF (IWP),IWP,ETF ,Mid-Cap Growth,3.0,3.0,4.0,4.0,43.62,22.13,20.26,14.91,26.1,-1.82,15.62,35.44,11.68,-0.39,7.15,24.98,-4.95,35.14,35.29,13.0,NA,NA,21.84,17.6,16.05,0.97,1.08,0.91,0.12,99.08,0.8,NA,NA,NA
iShares Morningstar Mid-Cap Growth ETF (IMCG),IMCG,ETF ,Mid-Cap Growth,4.0,4.0,4.0,4.0,41.22,23.91,21.94,14.92,27.36,-2.51,15.51,33.84,9.53,-0.94,6.26,25.37,-3.39,35.62,45.65,11.81,NA,NA,21.75,17.48,16.34,1.04,1.16,0.9,0.15,97.93,1.92,NA,NA,NA
Invesco S&P MidCap Momentum ETF (XMMO),XMMO,ETF ,Mid-Cap Growth,3.0,4.0,3.0,3.0,44.94,21.22,24.32,14.89,29.56,-5.92,15.09,27.34,9.35,-4.28,4.43,36.52,6.81,36.29,29.01,10.74,NA,NA,21.45,17.68,16.34,0.96,1.26,0.9,0.07,99.93,NA,NA,NA,NA
Vanguard Mid-Cap Growth Index Fund ETF Shares (VOT),VOT,ETF ,Mid-Cap Growth,3.0,3.0,3.0,3.0,43.83,21.56,19.22,14.11,29.11,-3.7,15.94,32.23,13.49,-1.0,6.75,21.83,-5.6,33.86,34.46,14.55,NA,NA,21.28,17.12,16.05,0.97,1.05,0.87,0.07,97.77,2.16,NA,NA,NA
