Columbia Select Mid Cap Value Fund Institutional 3 Class (CMVYX),CMVYX,MF,Mid-Cap Value,4.0,4.0,4.0,4.0,50.08,12.71,10.24,11.64,23.19,-3.94,16.98,35.67,12.47,-4.76,14.44,13.8,-13.12,31.87,6.96,18.69,0.74,0.78,24.34,19.33,16.78,0.6,0.66,0.68,1.4,92.35,6.25,NA,NA,NA
T. Rowe Price Mid-Cap Value Fund I Class (TRMIX),TRMIX,MF,Mid-Cap Value,3.0,3.0,4.0,3.0,39.03,9.83,NA,NA,NA,NA,NA,NA,NA,NA,24.54,11.79,-10.48,19.75,10.03,17.45,0.65,0.65,22.71,18.21,15.69,0.52,0.66,0.74,6.82,73.94,14.04,0.21,NA,4.99
Vanguard S&P Mid-Cap 400 Value Index Fund ETF Shares (IVOV),IVOV,ETF ,Mid-Cap Value,3.0,3.0,3.0,3.0,61.24,11.39,12.66,11.67,NA,-2.65,18.35,33.93,11.87,-6.78,26.27,12.13,-11.99,25.91,3.63,22.7,NA,NA,26.74,21.52,18.49,0.5,0.61,0.66,0.01,98.62,1.37,NA,NA,NA
Cambria Shareholder Yield ETF (SYLD),SYLD,ETF ,Mid-Cap Value,5.0,5.0,N/A,5.0,102.44,21.92,20.23,NA,NA,NA,NA,NA,11.09,-1.25,15.26,19.74,-13.36,26.9,13.51,40.52,NA,NA,29.82,23.8,NA,0.78,0.85,NA,0.9,96.99,2.11,NA,NA,NA
SPDR Russell 1000 Yield Focus ETF (ONEY),ONEY,ETF ,Mid-Cap Value,4.0,4.0,N/A,4.0,66.19,14.06,15.65,NA,NA,NA,NA,NA,NA,NA,23.1,15.29,-7.95,26.92,2.3,28.21,NA,NA,26.04,20.72,NA,0.6,0.7,NA,0.24,98.0,1.76,NA,NA,NA
Ariel Fund Institutional Class (ARAIX),ARAIX,MF,Mid-Cap Value,3.0,4.0,3.0,4.0,67.83,13.44,11.39,NA,NA,NA,20.75,45.09,11.29,-3.78,15.87,16.23,-13.42,25.08,10.37,27.23,0.72,0.72,28.18,22.98,21.01,0.55,0.71,0.63,8.16,90.38,1.45,NA,NA,NA
Ariel Appreciation Fund Institutional Class (CAAIX),CAAIX,MF,Mid-Cap Value,3.0,3.0,3.0,3.0,51.7,11.13,9.02,NA,NA,NA,19.62,46.7,8.54,-5.92,13.01,15.45,-13.72,25.0,7.7,21.28,0.84,0.84,24.71,20.1,18.83,0.53,0.64,0.62,3.18,95.0,1.83,NA,NA,NA
Fidelity Advisor Value Strategies Fund Class I (FASOX),FASOX,MF,Mid-Cap Value,4.0,4.0,3.0,4.0,59.89,13.72,10.59,12.77,26.57,-9.3,27.02,30.4,6.42,-2.62,11.22,19.14,-17.47,34.52,8.22,23.58,0.62,0.62,26.05,20.66,18.2,0.61,0.7,0.65,0.21,94.38,5.41,NA,NA,NA
First Trust Multi Cap Value AlphaDEX Fund (FAB),FAB,ETF ,Mid-Cap Value,2.0,2.0,2.0,2.0,56.79,10.04,12.72,10.52,22.08,0.58,17.19,37.02,7.86,-12.47,25.84,14.12,-13.97,23.55,2.29,22.47,NA,NA,28.37,22.72,19.37,0.44,0.59,0.58,NA,NA,NA,NA,NA,NA
iShares S&P Mid-Cap 400 Value ETF (IJJ),IJJ,ETF ,Mid-Cap Value,3.0,3.0,3.0,3.0,56.57,10.43,11.62,12.07,22.46,-2.63,18.3,33.97,11.87,-6.8,26.2,12.06,-12.07,25.81,3.53,22.65,NA,NA,26.75,21.48,18.42,0.46,0.57,0.68,0.21,98.41,1.38,NA,NA,NA
Invesco S&P MidCap Value with Momentum ETF (XMVM),XMVM,ETF ,Mid-Cap Value,4.0,3.0,4.0,4.0,65.31,15.0,12.02,13.1,14.35,-1.12,19.1,40.59,12.18,-7.24,28.49,3.05,-9.67,30.35,5.61,25.67,NA,NA,25.59,20.51,17.8,0.63,0.61,0.75,0.07,99.93,NA,NA,NA,NA
SPDR S&P 400 Mid Cap Value ETF (MDYV),MDYV,ETF ,Mid-Cap Value,3.0,3.0,3.0,3.0,61.13,11.4,12.73,11.68,21.66,-2.59,18.31,33.87,11.82,-6.73,26.34,12.17,-11.96,25.88,3.77,22.64,NA,NA,26.68,21.47,18.45,0.5,0.61,0.66,0.11,98.51,1.38,NA,NA,NA
Vanguard Mid-Cap Value Index Fund ETF Shares (VOE),VOE,ETF ,Mid-Cap Value,3.0,4.0,4.0,4.0,50.03,11.04,12.08,11.91,21.83,-0.32,16.04,37.65,13.98,-1.8,15.26,17.05,-12.41,27.98,2.5,20.61,NA,NA,23.08,18.42,15.98,0.52,0.65,0.75,NA,NA,NA,NA,NA,NA
