iShares Morningstar Mid-Cap Value ETF (JKI),JKI,NA,NA,N/A,N/A,N/A,N/A,25.36,6.16,11.06,10.49,35.63,20.22,-2.87,17.28,41.72,11.14,-2.81,24.77,12.69,-10.77,24.4,15.85,NA,NA,24.21,19.7,16.7,0.32,0.58,0.65,NA,NA,NA,NA,NA,NA
Delaware U.S. Growth Fund Institutional Class (DEUIX),DEUIX,NA,NA,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iShares Core S&P U.S. Growth ETF (IUSG),IUSG,ETF ,NA,3.0,3.0,4.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,99.4,0.54,NA,NA,NA
iShares Morningstar Growth ETF (JKE),JKE,NA,NA,N/A,N/A,N/A,N/A,41.64,20.82,22.03,16.5,43.95,12.6,1.3,17.73,32.07,14.08,7.45,1.57,30.61,2.09,33.47,-1.3,NA,NA,19.28,16.08,14.74,1.0,1.25,1.07,NA,NA,NA,NA,NA,NA
Columbia Small Cap Value Fund I Institutional 3 Class (CSVYX),CSVYX,MF,NA,3.0,4.0,3.0,3.0,66.56,8.71,11.36,10.75,26.26,-5.8,11.59,34.48,3.32,-6.07,32.94,14.37,-17.94,21.46,8.29,NA,NA,NA,28.79,23.98,20.44,0.42,0.65,0.57,0.99,88.66,10.35,NA,NA,NA
SPDR S&P 600 Small Cap Value ETF (SLYV),SLYV,ETF ,NA,3.0,4.0,5.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,98.59,1.27,NA,NA,NA
WisdomTree U.S. SmallCap Dividend Fund (DES),DES,ETF ,NA,2.0,2.0,4.0,3.0,54.46,5.48,9.07,10.53,26.57,-1.77,18.39,36.86,7.54,-5.54,31.05,8.68,-12.75,20.32,-4.42,NA,NA,NA,25.74,21.31,18.15,0.29,0.47,0.61,NA,99.55,0.45,NA,NA,NA
iShares Morningstar Small-Cap Value ETF (JKL),JKL,NA,NA,N/A,N/A,N/A,N/A,34.08,6.26,10.6,8.83,39.87,25.56,-2.08,18.07,35.36,9.81,-8.77,27.83,8.08,-16.8,19.48,16.52,NA,NA,29.7,24.54,20.3,0.31,0.49,0.49,NA,NA,NA,NA,NA,NA
Vanguard Russell 2000 Index Fund ETF Shares (VTWO),VTWO,ETF ,NA,3.0,4.0,4.0,4.0,62.15,13.53,16.5,12.35,NA,-4.26,16.26,38.82,4.92,-4.42,21.33,14.7,-10.98,25.61,20.1,NA,NA,NA,25.56,21.0,18.87,0.58,0.78,0.68,0.02,98.98,1.0,NA,NA,NA
WisdomTree U.S. SmallCap Quality Dividend Growth Fund (DGRS),DGRS,ETF ,NA,3.0,2.0,N/A,2.0,67.61,12.57,13.81,NA,NA,NA,NA,NA,4.37,-7.03,30.59,7.1,-10.29,24.37,7.43,22.44,NA,NA,25.34,21.11,NA,0.55,0.67,NA,NA,98.92,1.08,NA,NA,NA
