T. Rowe Price Small-Cap Value Fund I Class (PRVIX),PRVIX,MF,Small Blend,4.0,4.0,4.0,4.0,50.4,11.66,NA,NA,NA,NA,NA,NA,NA,NA,29.12,13.55,-11.4,25.97,12.59,17.34,0.7,0.7,23.75,19.48,17.3,0.57,0.77,0.7,0.93,88.56,5.49,NA,NA,5.03
DFA U.S. Small Cap Portfolio Institutional Class (DFSTX),DFSTX,MF,Small Blend,3.0,3.0,3.0,3.0,54.91,10.27,10.86,12.09,30.7,-3.15,18.39,42.21,4.44,-3.29,23.53,11.52,-13.13,21.75,11.17,21.57,0.33,0.33,25.73,21.21,18.77,0.5,0.68,0.66,0.82,97.71,1.41,NA,NA,0.05
GuideStone Funds Small Cap Equity Fund Institutional Class (GSCYX),GSCYX,MF,Small Blend,4.0,4.0,3.0,4.0,49.86,12.95,11.04,11.71,27.64,1.4,15.25,38.25,4.13,-5.66,17.48,12.98,-12.01,25.29,20.08,16.39,1.0,1.0,25.36,20.78,18.59,0.59,0.75,0.65,3.26,94.9,1.85,NA,NA,NA
Calvert Small-Cap Fund Class I (CSVIX),CSVIX,MF,Small Blend,5.0,5.0,5.0,5.0,39.43,12.41,12.12,13.06,23.84,-4.25,16.16,41.91,7.64,-0.64,20.54,13.69,-6.54,26.3,14.95,13.44,0.96,0.97,20.44,17.16,16.08,0.63,0.85,0.78,1.81,94.08,4.01,0.1,NA,NA
Hartford Schroders US Small Cap Opportunities Fund Class F (HOOFX),HOOFX,MF,Small Blend,4.0,3.0,4.0,4.0,44.33,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.73,32.12,8.07,14.36,0.99,1.05,24.06,19.32,16.81,0.58,0.73,0.7,4.51,92.03,2.81,NA,NA,0.66
JPMorgan U.S. Small Company Fund Class R6 (JUSMX),JUSMX,MF,Small Blend,3.0,3.0,4.0,3.0,52.14,11.12,10.54,NA,NA,NA,21.63,40.66,8.71,-3.05,20.87,9.08,-11.97,22.18,18.32,15.28,0.71,0.71,25.2,20.88,19.02,0.53,0.7,0.68,2.68,96.93,0.39,NA,NA,NA
BlackRock Advantage Small Cap Core Fund Class K (BDSKX),BDSKX,MF,Small Blend,4.0,4.0,N/A,4.0,48.61,13.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.82,-8.8,32.26,19.6,13.05,0.45,0.56,26.13,21.59,NA,0.63,0.81,NA,0.99,98.37,0.63,NA,NA,0.01
JPMorgan Small Cap Equity Fund Class R6 (VSENX),VSENX,MF,Small Blend,4.0,5.0,5.0,5.0,41.64,13.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.88,-8.77,28.72,18.8,12.73,0.74,0.75,23.55,19.02,16.59,0.61,0.79,0.8,2.4,97.58,0.01,NA,NA,NA
Federated Hermes MDT Small Cap Core Fund Class R6 (QLSCX),QLSCX,MF,Small Blend,2.0,3.0,4.0,3.0,53.76,9.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.64,-11.57,18.06,16.99,17.69,0.88,0.96,27.3,22.7,20.68,0.46,0.73,0.68,1.97,97.07,0.97,NA,NA,NA
John Hancock Small Cap Core Fund Class R6 (JORSX),JORSX,MF,Small Blend,5.0,5.0,N/A,5.0,53.84,16.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.17,26.99,26.11,19.64,0.92,0.93,24.54,19.94,NA,0.71,0.84,NA,1.61,96.52,1.87,NA,NA,NA
