Baron Small Cap Fund Institutional Class (BSFIX),BSFIX,MF,Small Growth,3.0,4.0,3.0,3.0,41.09,20.84,16.6,14.75,23.79,-1.37,18.3,38.1,1.95,-5.01,10.26,27.45,-7.13,34.87,40.68,11.39,1.05,1.05,25.89,20.5,18.29,0.81,1.0,0.79,1.54,88.37,10.09,NA,NA,NA
Wasatch Core Growth Fund Institutional Class Shares (WIGRX),WIGRX,MF,Small Growth,4.0,4.0,5.0,4.0,46.19,22.34,17.85,NA,NA,NA,NA,30.27,6.18,3.98,10.71,24.47,-3.46,33.43,36.76,16.54,1.05,1.08,24.45,19.54,16.78,0.89,1.11,0.96,1.33,96.31,2.36,NA,NA,NA
Buffalo Small Cap Fund Institutional Class (BUISX),BUISX,MF,Small Growth,5.0,5.0,4.0,5.0,51.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6,11.54,0.87,0.87,27.77,22.36,20.25,1.05,1.21,0.86,5.03,93.39,1.58,NA,NA,NA
Invesco DWA SmallCap Momentum ETF (DWAS),DWAS,ETF ,Small Growth,3.0,3.0,N/A,3.0,68.05,18.64,20.79,NA,NA,NA,NA,49.19,-1.64,-3.33,7.89,20.58,-10.19,31.03,32.01,12.53,NA,NA,26.47,22.11,NA,0.74,0.92,NA,NA,98.67,1.32,NA,NA,NA
First Trust Small Cap Growth AlphaDEX Fund (FYC),FYC,ETF ,Small Growth,2.0,2.0,2.0,2.0,72.97,14.94,18.78,13.69,NA,NA,13.08,42.93,-1.65,1.78,13.92,23.19,-5.6,16.8,32.07,16.94,NA,NA,26.91,22.18,19.25,0.61,0.84,0.73,0.03,98.84,1.13,NA,NA,NA
iShares Morningstar Small-Cap Growth ETF (ISCG),ISCG,ETF ,Small Growth,3.0,3.0,3.0,3.0,30.08,14.97,16.67,13.7,30.94,-1.22,14.48,41.91,2.36,-0.03,9.48,23.48,-5.79,27.41,43.29,0.49,NA,NA,24.41,19.7,18.15,0.65,0.83,0.77,0.18,98.58,1.24,NA,NA,NA
Invesco S&P SmallCap Momentum ETF (XSMO),XSMO,ETF ,Small Growth,2.0,3.0,2.0,2.0,52.15,15.27,19.0,12.5,27.23,-1.61,14.55,32.34,4.54,0.33,7.17,23.42,-2.88,28.35,21.84,11.75,NA,NA,23.2,19.22,17.53,0.68,0.94,0.73,0.07,99.93,NA,NA,NA,NA
Vanguard Small-Cap Growth Index Fund ETF Shares (VBK),VBK,ETF ,Small Growth,3.0,3.0,3.0,3.0,45.92,18.83,19.38,13.86,30.87,-1.43,17.67,38.18,4.02,-2.51,10.74,21.9,-5.68,32.75,35.29,7.12,NA,NA,24.22,19.5,17.95,0.78,0.95,0.78,-0.01,99.5,0.51,NA,NA,NA
ClearBridge Small Cap Growth Fund Class IS (LMOIX),LMOIX,MF,Small Growth,3.0,4.0,4.0,4.0,40.04,20.86,17.78,16.72,25.91,1.07,19.47,45.73,3.78,-4.38,6.25,25.47,4.58,25.78,44.01,11.73,0.78,0.78,25.16,20.31,18.96,0.85,1.13,0.86,1.47,94.38,2.8,NA,NA,1.34
Lord Abbett Developing Growth Fund Class F3 (LOGWX),LOGWX,MF,Small Growth,4.0,4.0,4.0,4.0,42.67,26.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46,32.39,73.04,2.82,0.59,0.59,27.23,22.11,20.39,0.97,1.2,0.82,NA,95.1,4.9,NA,NA,NA
