Victory Sycamore Small Company Opportunity Fund R6 (VSORX),VSORX,MF,Small Value,5.0,5.0,5.0,5.0,48.87,10.68,NA,NA,NA,NA,NA,NA,NA,NA,29.93,11.88,-8.24,27.02,4.82,17.91,0.86,0.86,22.94,19.3,17.12,0.55,0.76,0.72,NA,99.31,0.69,NA,NA,NA
Hartford Schroders International Stock Fund Class F (HSWFX),HSWFX,MF,Foreign Large Blend,5.0,5.0,5.0,5.0,29.07,14.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.29,25.31,25.0,8.8,0.75,0.75,18.18,15.24,15.5,0.8,0.91,0.51,2.17,1.6,96.23,NA,NA,NA
ClearBridge Select Fund Class IS (LCSSX),LCSSX,MF,Mid-Cap Growth,5.0,5.0,N/A,5.0,47.21,31.55,25.25,NA,NA,NA,NA,50.55,13.66,-3.87,4.26,39.04,10.55,33.6,58.86,19.11,1.03,1.03,23.86,19.18,NA,1.22,1.55,NA,8.49,82.16,7.47,NA,NA,1.88
Cambria Shareholder Yield ETF (SYLD),SYLD,ETF ,Mid-Cap Value,5.0,5.0,N/A,5.0,102.44,21.92,20.23,NA,NA,NA,NA,NA,11.09,-1.25,15.26,19.74,-13.36,26.9,13.51,40.52,NA,NA,29.82,23.8,NA,0.78,0.85,NA,0.9,96.99,2.11,NA,NA,NA
PGIM Jennison International Opportunities Fund- Class R6 (PWJQX),PWJQX,MF,Foreign Large Growth,5.0,5.0,N/A,5.0,38.87,26.1,NA,NA,NA,NA,NA,NA,NA,NA,-9.39,49.55,-12.82,38.29,55.61,13.78,0.84,0.91,19.14,16.74,NA,1.2,1.32,NA,-0.25,4.78,94.84,NA,NA,0.63
Victory Trivalent International Small-Cap Fund Class I (MISIX),MISIX,MF,Foreign Small-Mid Blend,4.0,5.0,5.0,5.0,33.01,10.09,9.85,10.3,25.49,-11.55,24.32,32.98,-0.2,8.2,-0.7,37.13,-20.21,27.88,15.42,13.37,0.96,1.19,21.35,17.49,16.49,0.49,0.73,0.63,NA,1.11,98.89,NA,NA,NA
Pioneer Fund Class K (PIOKX),PIOKX,NA,Large Blend,N/A,N/A,N/A,N/A,39.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.33,19.29,0.61,0.73,17.27,14.13,13.57,1.21,1.25,0.99,0.02,98.97,1.01,NA,NA,NA
Calvert Small-Cap Fund Class I (CSVIX),CSVIX,MF,Small Blend,5.0,5.0,5.0,5.0,39.43,12.41,12.12,13.06,23.84,-4.25,16.16,41.91,7.64,-0.64,20.54,13.69,-6.54,26.3,14.95,13.44,0.96,0.97,20.44,17.16,16.08,0.63,0.85,0.78,1.81,94.08,4.01,0.1,NA,NA
Invesco S&P MidCap Quality ETF (XMHQ),XMHQ,ETF ,Mid-Cap Blend,5.0,5.0,4.0,5.0,48.31,17.86,16.12,12.84,20.83,-1.28,13.65,33.36,12.64,-6.55,16.18,16.22,-9.73,27.9,26.54,16.49,NA,NA,20.9,16.84,15.4,0.84,0.9,0.82,0.1,99.9,NA,NA,NA,NA
PGIM QMA International Equity Fund- Class R6 (PJRQX),PJRQX,MF,Foreign Large Value,4.0,5.0,4.0,4.0,26.41,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.97,-16.92,20.45,7.33,10.25,0.78,1.05,18.08,14.95,15.31,0.44,0.64,0.38,1.07,0.76,94.81,0.08,NA,3.29
Grandeur Peak International Stalwarts Fund Institutional Class (GISYX),GISYX,MF,Foreign Small-Mid Growth,5.0,5.0,N/A,5.0,47.86,21.22,NA,NA,NA,NA,NA,NA,NA,NA,5.22,36.85,-17.4,31.92,38.49,20.04,0.92,0.92,21.74,17.67,NA,0.89,1.03,NA,1.09,13.71,85.2,NA,NA,NA
First Trust Rising Dividend Achievers ETF (RDVY),RDVY,ETF ,Large Value,5.0,5.0,N/A,5.0,58.05,19.02,20.59,NA,NA,NA,NA,NA,NA,-2.89,21.87,22.58,-9.74,37.61,13.32,21.19,NA,NA,24.14,19.5,NA,0.8,1.0,NA,0.11,97.97,1.92,NA,NA,NA
Fidelity Nasdaq Composite Index ETF (ONEQ),ONEQ,ETF ,NA,4.0,4.0,5.0,5.0,45.04,25.7,25.69,19.2,17.8,-0.96,17.23,39.68,14.59,6.88,8.92,29.22,-3.07,37.02,44.79,NA,NA,NA,20.66,16.85,15.62,1.16,1.38,1.17,NA,94.67,5.33,NA,NA,NA
Federated Hermes Kaufmann Small Cap Fund Class R6 Shares (FKALX),FKALX,MF,Small Growth,4.0,5.0,5.0,4.0,37.22,24.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,34.61,44.07,8.08,0.9,0.94,23.73,19.23,19.87,1.01,1.34,0.9,1.21,83.23,15.06,NA,NA,0.5
Fidelity Advisor Growth Opportunities Fund Class Z (FZAHX),FZAHX,MF,Large Growth,5.0,5.0,5.0,5.0,46.54,37.36,26.39,NA,NA,NA,NA,NA,12.15,5.27,0.36,35.22,14.52,40.81,69.25,13.1,0.69,0.69,23.13,18.84,17.43,1.46,1.63,1.21,-1.12,84.83,13.21,0.02,NA,3.05
Pear Tree Polaris Foreign Value Small Cap Fund Class R6 (QUSRX),QUSRX,MF,Foreign Small-Mid Value,5.0,4.0,5.0,5.0,47.08,8.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.81,20.77,6.74,17.85,1.05,1.15,22.35,18.16,16.18,0.42,0.64,0.54,7.51,3.23,90.42,NA,NA,-1.16
