Invesco Small Cap Value Fund Class R6 (SMVSX),SMVSX,MF,Small Value,2.0,3.0,2.0,2.0,83.45,12.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.97,32.55,11.31,27.96,0.7,0.7,36.26,29.46,25.32,0.52,0.65,0.56,1.12,91.34,7.54,NA,NA,NA
Federated Hermes International Leaders Fund Class R6 Shares (FGRSX),FGRSX,MF,Foreign Large Blend,3.0,4.0,3.0,4.0,24.81,9.53,5.9,NA,NA,NA,NA,NA,-4.14,-1.87,-2.64,28.35,-20.58,27.09,15.81,8.29,0.92,1.03,19.72,16.38,17.58,0.47,0.7,0.42,1.27,3.46,95.27,NA,NA,NA
Morgan Stanley Institutional Fund Trust Discovery Portfolio Class IS (MMCGX),MMCGX,MF,Mid-Cap Growth,5.0,5.0,5.0,5.0,38.91,48.41,27.16,NA,NA,NA,NA,NA,1.49,-5.73,-13.3,39.35,12.23,39.96,142.66,1.62,0.64,0.64,31.64,26.02,22.27,1.4,1.38,0.89,10.05,87.4,2.34,NA,NA,0.21
Ariel Fund Institutional Class (ARAIX),ARAIX,MF,Mid-Cap Value,3.0,4.0,3.0,4.0,67.83,13.44,11.39,NA,NA,NA,20.75,45.09,11.29,-3.78,15.87,16.23,-13.42,25.08,10.37,27.23,0.72,0.72,28.18,22.98,21.01,0.55,0.71,0.63,8.16,90.38,1.45,NA,NA,NA
Franklin International Growth Fund Class R6 (FILRX),FILRX,MF,Foreign Large Growth,4.0,4.0,4.0,4.0,25.66,15.93,14.36,NA,NA,NA,NA,NA,-4.31,0.5,1.77,37.24,-14.16,37.42,33.01,6.11,0.74,0.82,21.35,17.62,16.6,0.76,0.99,0.61,2.72,9.33,87.95,NA,NA,NA
Franklin International Small Cap Fund Class R6 (FCAPX),FCAPX,MF,Foreign Small-Mid Blend,1.0,1.0,1.0,1.0,42.71,-2.44,2.34,NA,NA,NA,NA,NA,-10.63,6.83,-2.98,34.62,-20.55,12.83,-10.53,13.26,0.95,0.97,24.85,20.16,17.64,0.01,0.3,0.36,6.35,NA,93.65,NA,NA,NA
John Hancock Funds Fundamental All Cap Core Fund Class R6 (JFAIX),JFAIX,MF,Large Blend,3.0,4.0,4.0,4.0,44.98,20.34,15.72,NA,NA,NA,NA,NA,NA,NA,8.37,27.63,-14.14,36.52,27.92,21.6,0.72,0.99,24.69,19.87,17.77,0.83,1.01,0.89,2.05,91.26,6.69,NA,NA,NA
Federated Hermes MDT Small Cap Core Fund Class R6 (QLSCX),QLSCX,MF,Small Blend,2.0,3.0,4.0,3.0,53.76,9.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.64,-11.57,18.06,16.99,17.69,0.88,0.96,27.3,22.7,20.68,0.46,0.73,0.68,1.97,97.07,0.97,NA,NA,NA
First Trust Mid Cap Core AlphaDEX Fund (FNX),FNX,ETF ,Mid-Cap Blend,3.0,3.0,3.0,3.0,61.8,14.77,15.86,11.93,27.01,0.84,14.24,37.47,5.56,-8.1,18.67,17.62,-11.12,26.87,16.15,20.11,NA,NA,26.15,20.98,18.3,0.62,0.76,0.68,NA,NA,NA,NA,NA,NA
Oakmark International Fund Class Institutional (OANIX),OANIX,MF,Foreign Large Value,1.0,2.0,4.0,1.0,47.49,5.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.0,-23.32,24.43,5.16,11.67,0.78,0.8,29.67,24.03,20.94,0.35,0.56,0.41,3.33,1.29,95.07,NA,NA,0.3
